id_point;nom;type;altitude;latitude;longitude;état;nombre de place
99;Refuge de Platé;refuge gardé;2032;45.9656;6.7173;;35
1435;Refuge de la Vogealle;refuge gardé;1901;46.1122;6.8379;;58
354;Refuge de Moëde-Anterne;refuge gardé;1996;45.9748;6.8006;;91
355;Refuge du Grenairon;refuge gardé;1974;46.03229;6.79831;;85
369;Refuge du Vieux Emosson;refuge gardé;2205;46.0625;6.9003;;28
2469;Cabane de Susanfe;refuge gardé;2102;46.13938;6.89797;;72
185;Refuge de Bostan;refuge gardé;1770;46.1234;6.7792;;70
106;Refuge Alfred Wills (Anterne);refuge gardé;1810;46.00449;6.79135;;54
360;Refuge de la Flégère;refuge gardé;1807;45.96;6.8875;;90
370;Refuge de Loriaz;refuge gardé;2020;46.0391;6.9132;;30
356;Refuge des Fonts;refuge gardé;1368;46.0210751923565;6.81100845336914;;32
1279;Refuge des Garins;refuge gardé;1106;45.691;6.1467;;20
2917;"Chalet de la Servaz dit ""La Sarve""";refuge gardé;1434;45.7188;6.2483;;19
71;Refuge de la Combe;refuge gardé;1573;45.7419513196065;6.20500087738037;;20
1521;Gîte de St Disdier;refuge gardé;1030;44.73549;5.89537;;24
281;Refuge de l'Etendard;refuge gardé;2430;45.20377;6.17541;;80
308;Refuge des Aiguilles d'Arves;refuge gardé;2260;45.11819;6.37521;;39
6053;Refuge du Pic du Mas de la Grave;refuge gardé;1944;45.08673;6.260115;;32
4507;Refuge de Terre Rouge;refuge gardé;2182;45.1306657234974;6.51244640350342;;40
506;Refuge du Chardonnet;refuge gardé;2223;45.02573;6.53189;;39
3949;Refuge-gîte  du Suffet;refuge gardé;1690;45.20608;6.84573;;40
426;Refuge du Mont Thabor;refuge gardé;2502;45.12343;6.59979;;46
3145;Refuge Buffère;refuge gardé;2076;45.01264;6.57066;;30
444;Refuge d'Ambin;refuge gardé;2270;45.16348;6.86502;;30
405;Refuge de Ricou;refuge gardé;2115;45.04636;6.54401;;20
409;Refuge des Drayères;refuge gardé;2180;45.081;6.508;;64
3712;Refuge Vaccarone;refuge gardé;2741;45.15393;6.91692;;15
1710;Refuge du Pavé;refuge gardé;2841;44.98592;6.32856;;26
6472;Refuge de Font Turbat;refuge gardé;2169;44.865;6.17769;;39
647;Refuge Temple Ecrins;refuge gardé;2410;44.9042;6.3325;;48
4223;Gite des trois cols;refuge gardé;1477;44.61603;6.33258;;40
1166;Refuge des Souffles;refuge gardé;1980;44.84464;6.14658;;30
1529;L'Alpe du Pin;refuge gardé;1805;44.94464;6.17329;;16
1341;Refuge de la Muzelle;refuge gardé;2115;44.953;6.09762;;52
1753;Refuge du Châtelleret;refuge gardé;2232;44.97573;6.29962;;70
1767;Refuge de Chabournéou;refuge gardé;2020;44.80995;6.31482;;44
2296;Refuge du Pré de La Chaumette;refuge gardé;1805;44.76534;6.32756;;60
2319;Refuge des Clots;refuge gardé;1517;45.04361;6.18288;;20
1752;Refuge du Promontoire;refuge gardé;3092;44.99843;6.30492;;30
1548;Refuge de l'Olan;refuge gardé;2344;44.84151;6.20453;;56
1540;Refuge du Sélé;refuge gardé;2513;44.87332;6.39053;;76
1488;Refuge de l'Aigle;refuge gardé;3440;45.01129;6.32455;;30
1537;Refuge Adèle Planchard;refuge gardé;3169;44.96892;6.34515;;64
1536;Refuge du Pelvoux;refuge gardé;2700;44.8825;6.4057;;56
1550;Refuge du Glacier Blanc;refuge gardé;2542;44.93755;6.41172;;135
1552;Refuge du Clot (Xavier Blanc);refuge gardé;1397;44.82925;6.27554;;40
5572;Chalet- refuge de Chamoissière;refuge gardé;2106;44.9954880939572;6.38550281524658;;18
1545;Refuge de la Selle;refuge gardé;2673;44.98228;6.24913;;75
1754;Refuge de la Pilatte;refuge gardé;2577;44.87;6.3321;;118
1544;Refuge du Soreiller;refuge gardé;2730;44.9604;6.2437;;90
1165;Refuge de Vallonpierre;refuge gardé;2271;44.7986;6.2898;;39
1538;Refuge des Bans;refuge gardé;2083;44.83442;6.3612;;22
1741;Refuge Evariste Chancel;refuge gardé;2506;45.02687;6.27117;;35
2166;Châlet Alpin de la Bérarde;refuge gardé;1734;44.9325;6.2935;;61
1549;Refuge du Pigeonnier;refuge gardé;2427;44.85489;6.28497;;52
1276;Refuge de Chalance;refuge gardé;2560;44.84143;6.23615;;14
1547;Refuge de l'Alpe du Villar d'Arène;refuge gardé;2079;44.99619;6.38445;;94
1535;Refuge des Ecrins;refuge gardé;3175;44.9473;6.38284;;120
1546;Refuge de la Lavey;refuge gardé;1797;44.89862;6.20616;;45
404;Chalet le Zaulay (ou Zolé);refuge gardé;1100;46.2105;6.72522;Détruit;0
333;Refuge de la Dent d'Oche;refuge gardé;2114;46.35274;6.7277;;45
3740;Refuge de Chavan;refuge gardé;1600;46.18262;6.56326;;19
419;Refuge de Bise;refuge gardé;1502;46.33031;6.76453;;20
1675;Refuge Agnel;refuge gardé;2585;44.69085;6.97129;;80
1288;Refuge du Viso;refuge gardé;2460;44.70043;7.0514;;65
1428;Refuge des Fonts de Cervières;refuge gardé;2040;44.84465;6.8157;;60
1673;Refuge de Maljasset;refuge gardé;1903;44.5927592753085;6.84231519699097;;50
1676;Refuge de Chambeyron;refuge gardé;2626;44.53012;6.83602;;70
1689;Refuge du Laverq;refuge gardé;1570;44.34914;6.50484;Fermé;16
4323;Refuge Dahu de Sabarnui;refuge gardé;1702;44.2609;7.0442;;21
2701;Refuge de Longon (Vacherie de Roure);refuge gardé;1883;44.13925;7.04693;;35
1220;Refuge de Nice;refuge gardé;2232;44.10441;7.40038;;80
1305;Refuge du Rabuons;refuge gardé;2523;44.26844;6.9781;;36
6008;Refuge de Malinvern;refuge gardé;0;44.2202766552635;7.18442559242249;;0
1437;Refuge Guglielmo Migliorero;refuge gardé;2100;44.28274;7.01921;;88
1173;Refuge CAF de la Valmasque;refuge gardé;2233;44.10815;7.44656;;52
1209;Refuge des Merveilles;refuge gardé;2130;44.0572;7.4518;;75
1368;Refuge de Vens;refuge gardé;2380;44.31672;6.94199;;45
2025;Gîte-Refuge de la Madone de Fenestre;refuge gardé;1904;44.09551;7.357;;63
6381;Refuge Vittorio Sella;refuge gardé;2588;45.58012;7.30347;;150
1416;Refuge des Evettes;refuge gardé;2590;45.3685;7.10739;;64
2228;Refuge de l’Epée;refuge gardé;2370;45.5889;7.0602;;80
1203;Rifugio Mario Bezzi;refuge gardé;2284;45.541;7.01803;;90
568;Refuge d'Avérole;refuge gardé;2210;45.29723;7.08436;;88
1177;Rifugio Città di Chivasso;refuge gardé;2604;45.47978;7.14296;;38
3046;Ca' D'Asti;refuge gardé;2854;45.19115;7.07473;;100
676;Refuge du Ruitor;refuge gardé;2038;45.6251;6.9408;;35
5377;Refuge Ernesto Tazzetti;refuge gardé;2642;45.20933;7.09627;;32
5375;Refuge Citta di Cirié;refuge gardé;1850;45.3071;7.1634;;23
6396;Refuge Pontese;refuge gardé;2217;45.4958793507751;7.36895084381104;;70
5378;Refuge Bartolomeo Gastaldi;refuge gardé;2659;45.29778;7.14339;;76
5384;Refuge Luigi Cibrario;refuge gardé;2616;45.2468;7.14726;;42
5432;Refuge degli Angeli (Ex Scavarda);refuge gardé;2916;45.62444;7.02972;;49
2229;Refuge Albert Deffeyes;refuge gardé;2494;45.6753;6.9859;;92
2668;Refuge Victor Emmanuel II;refuge gardé;2732;45.51265;7.22959;;150
2667;Refuge Chabod;refuge gardé;2750;45.5403003975893;7.23893880844116;;85
1172;Rifugio Benevolo;refuge gardé;2285;45.51573;7.08451;;61
1118;Wildhornhütte;refuge gardé;2303;46.37923;7.38795;;96
1161;Schilthornhütte;refuge gardé;2432;46.57003;7.86283;;23
2414;Oberaarjochhütte;refuge gardé;3258;46.52627;8.17347;;56
4298;Oberaletschütte SAC;refuge gardé;2640;46.4249;7.9738;;58
2324;Cabane des Audannes;refuge gardé;2508;46.3434;7.384;;52
2416;Konkordiahütte;refuge gardé;2850;46.5005;8.05324;;155
2913;Cabane de Plan Névé;refuge gardé;2262;46.25193;7.14428;;30
2911;Refuge de Pierredar;refuge gardé;2293;46.32131;7.19486;;22
3362;Schreckhornhütte;refuge gardé;2530;46.58185;8.09867;;65
1335;Hollandiahutte;refuge gardé;3240;46.4753;7.96036;;100
2980;Wildstrubelhütte;refuge gardé;2790;46.38249;7.46811;;0
